id,theme,platform,dimensions,url,alt_text,file_size_kb
img_speed_000_000,speed,meta,1200x628,https://storage.googleapis.com/brad-creative-assets/creatives/hr-saas-001/images/img_speed_000_000_1200x628.png,HR SaaS platform for employee onboarding automation - Speed theme,4.71
img_speed_000_001,speed,meta,1080x1080,https://storage.googleapis.com/brad-creative-assets/creatives/hr-saas-001/images/img_speed_000_001_1080x1080.png,HR SaaS platform for employee onboarding automation - Speed theme,6.68
img_cost_001_000,cost,meta,1200x628,https://storage.googleapis.com/brad-creative-assets/creatives/hr-saas-001/images/img_cost_001_000_1200x628.png,HR SaaS platform for employee onboarding automation - Cost theme,4.95
img_cost_001_001,cost,meta,1080x1080,https://storage.googleapis.com/brad-creative-assets/creatives/hr-saas-001/images/img_cost_001_001_1080x1080.png,HR SaaS platform for employee onboarding automation - Cost theme,6.89
img_quality_002_000,quality,meta,1200x628,https://storage.googleapis.com/brad-creative-assets/creatives/hr-saas-001/images/img_quality_002_000_1200x628.png,HR SaaS platform for employee onboarding automation - Quality theme,4.74
img_quality_002_001,quality,meta,1080x1080,https://storage.googleapis.com/brad-creative-assets/creatives/hr-saas-001/images/img_quality_002_001_1080x1080.png,HR SaaS platform for employee onboarding automation - Quality theme,6.72
img_integration_003_000,integration,meta,1200x628,https://storage.googleapis.com/brad-creative-assets/creatives/hr-saas-001/images/img_integration_003_000_1200x628.png,HR SaaS platform for employee onboarding automation - Integration theme,4.95
img_integration_003_001,integration,meta,1080x1080,https://storage.googleapis.com/brad-creative-assets/creatives/hr-saas-001/images/img_integration_003_001_1080x1080.png,HR SaaS platform for employee onboarding automation - Integration theme,6.92
img_social_proof_004_000,social_proof,meta,1200x628,https://storage.googleapis.com/brad-creative-assets/creatives/hr-saas-001/images/img_social_proof_004_000_1200x628.png,HR SaaS platform for employee onboarding automation - Social_proof theme,4.83
img_social_proof_004_001,social_proof,meta,1080x1080,https://storage.googleapis.com/brad-creative-assets/creatives/hr-saas-001/images/img_social_proof_004_001_1080x1080.png,HR SaaS platform for employee onboarding automation - Social_proof theme,6.82
